"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.9360813375836e-123,-5.07325453417731,0.022,0.366,6.76934194636215e-119,"0","SPI1"
2.14585404040878e-122,-5.42022713030648,0.024,0.375,2.9428242310166e-118,"0","HLA-DQA1"
1.03496035245942e-121,-4.66810729874217,0.039,0.382,1.41934462736285e-117,"0","CFD"
1.65050366128069e-121,0.811991815263968,0.996,0.969,2.26350072108033e-117,"0","RPS3A"
5.93733172321431e-119,0.762007625928945,0.992,0.932,8.1424567252161e-115,"0","RPSA"
6.28175175649819e-119,0.592708863291384,1,0.999,8.61479435886162e-115,"0","MALAT1"
9.2146280723895e-119,-2.40979257807452,0.435,0.716,1.2636940938475e-114,"0","SAT1"
1.98908775286566e-118,-5.87785448435392,0.097,0.42,2.72783494427997e-114,"0","S100A8"
5.17116170584645e-118,-2.55828434658313,0.274,0.61,7.09173116339782e-114,"0","GSTP1"
1.53663932553468e-117,-4.41081911750507,0.035,0.371,2.10734717103826e-113,"0","CD68"
2.71702302657432e-114,-5.42829215976612,0.034,0.356,3.72612537864402e-110,"0","LGALS2"
2.54803027476098e-113,0.801866041349301,0.991,0.925,3.49436871880721e-109,"0","RPS20"
1.38933298710652e-110,0.627419832895868,0.998,0.975,1.90533125851789e-106,"0","RPL35A"
3.26160217224901e-110,0.633463316147771,0.997,0.988,4.4729612190223e-106,"0","EEF1A1"
1.26259041252342e-107,-2.1502612149957,0.35,0.638,1.73151649173462e-103,"0","PSAP"
1.60662225438344e-107,-3.25459223057421,0.226,0.494,2.20332175966145e-103,"0","AIF1"
1.77531035405516e-107,0.498626283600042,1,0.994,2.43466061955125e-103,"0","RPL11"
8.0929505301336e-107,-3.93147393679138,0.044,0.368,1.10986723570252e-102,"0","CEBPD"
4.27807471543323e-106,1.85117771773651,0.644,0.259,5.86695166474513e-102,"0","NOSIP"
1.02302444162095e-105,-3.86876955361034,0.037,0.358,1.40297571923897e-101,"0","FGR"
3.55928975203757e-104,-4.33629262310167,0.053,0.363,4.88120996594433e-100,"0","IFITM3"
2.21210934636253e-102,-2.48057753410862,0.183,0.523,3.03368675760158e-98,"0","PYCARD"
6.49737775448875e-102,-7.51956979145944,0.004,0.294,8.91050385250588e-98,"0","IFI30"
9.50228981394935e-102,-4.49011454728768,0.024,0.325,1.30314402508501e-97,"0","LY86"
3.39170980682101e-101,-3.56305001439252,0.068,0.383,4.65139082907433e-97,"0","GRN"
1.0399524136948e-100,0.571297604227995,0.999,0.969,1.42619074014105e-96,"0","RPS23"
1.13781440551866e-100,0.697823929898842,0.991,0.961,1.56039867572828e-96,"0","RPS28"
2.04058786500257e-99,-3.81331395251673,0.063,0.382,2.79846219806453e-95,"0","HLA-DQB1"
1.04152351753991e-98,-3.45440029938652,0.074,0.384,1.42834535195423e-94,"0","SERPINA1"
2.65176380746639e-98,0.578240497711479,0.998,0.989,3.63662888555941e-94,"0","RPS4X"
4.17966140130288e-98,0.702724286320158,0.992,0.932,5.73198764574677e-94,"0","RPL36"
7.10661808836567e-97,0.750590445864566,0.986,0.953,9.74601604638468e-93,"0","RPS13"
1.24185277819949e-96,-1.8649194176568,0.46,0.711,1.70307690002278e-92,"0","SRGN"
8.94520698919771e-96,0.752662862562588,0.986,0.923,1.22674568649857e-91,"0","RPLP0"
1.58882226485772e-94,-2.45021416280322,0.257,0.547,2.17891085402588e-90,"0","NPC2"
4.29014706678481e-94,-1.36581792497498,0.479,0.778,5.88350768738869e-90,"0","CLIC1"
1.55050301333551e-92,1.13259957721422,0.874,0.629,2.12635983248831e-88,"0","TMEM66"
2.48742876118152e-92,0.410660639510535,1,0.997,3.41125980308434e-88,"0","RPL10"
3.3944555136425e-92,-4.48678875069773,0.144,0.422,4.65515629140932e-88,"0","NKG7"
4.71626017874875e-91,0.646248418580899,0.992,0.96,6.46787920913604e-87,"0","RPS10"
8.85917805222031e-89,0.653965367291899,0.993,0.959,1.21494767808149e-84,"0","RPL5"
4.6247227905448e-87,0.93005425069824,0.925,0.755,6.34234483495314e-83,"0","NPM1"
4.26280527329198e-83,-1.21609309300766,0.736,0.883,5.84601115179262e-79,"0","ARPC3"
9.05902680706161e-82,-3.55724591069167,0.033,0.3,1.24235493632043e-77,"0","HLA-DMB"
1.76798503842057e-81,-2.84841026575175,0.07,0.356,2.42461468168997e-77,"0","FAM26F"
2.28452367336268e-81,-3.32601347942953,0.056,0.329,3.13299576564958e-77,"0","CFP"
2.92917686560499e-81,-4.44979079588388,0.044,0.299,4.01707315349068e-77,"0","FCGR3A"
8.60997684977228e-81,0.548132987164644,0.996,0.981,1.18077222517777e-76,"0","RPL14"
4.16945404347144e-80,-2.42417291420275,0.138,0.427,5.71798927521673e-76,"0","AP1S2"
3.09899547407905e-79,0.594023342238976,0.995,0.98,4.24996239315201e-75,"0","RPL10A"
5.53978962952537e-78,-3.86394241722063,0.032,0.29,7.59726749793109e-74,"0","NCF2"
6.21265664600963e-77,0.559534382295999,0.997,0.976,8.5200373243376e-73,"0","RPS16"
1.12144592491723e-76,-2.53855588867648,0.285,0.534,1.53795094143149e-72,"0","GPX1"
2.10475554340019e-76,-1.77032701124839,0.346,0.606,2.88646175221902e-72,"0","GABARAP"
4.40968599811821e-76,-4.66532624637886,0.023,0.267,6.04744337781932e-72,"0","MS4A6A"
4.82195972162425e-76,-0.577087085755251,0.993,0.996,6.61283556223549e-72,"0","MT-CO1"
